Period,Start Date,End Date,District,Store No,Store Name,Sales Forecast,Hours Guide
P5W2,5/3/2026,5/9/2026,District 1,346,Miami Old Cutler Road,27886,370
P5W2,5/3/2026,5/9/2026,District 1,871,Florida City,45483,516
P5W2,5/3/2026,5/9/2026,District 1,1677,Palmetto Bay SW 160th,25576,353
P5W2,5/3/2026,5/9/2026,District 1,1771,Miami SW 152nd St,29404,380
P5W2,5/3/2026,5/9/2026,District 1,2118,Naranja,50908,556
P5W2,5/3/2026,5/9/2026,District 1,3013,Quail Roost Dr,23308,335
P5W2,5/3/2026,5/9/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,19615,307
P5W2,5/3/2026,5/9/2026,District 2,1891,Miami SW 137th Ave,29234,380
P5W2,5/3/2026,5/9/2026,District 2,1972,Miami 40th St,46976,528
P5W2,5/3/2026,5/9/2026,District 2,2627,Hialeah Drive,29806,390
P5W2,5/3/2026,5/9/2026,District 2,2766,Miami SW 40th Street,20291,317
P5W2,5/3/2026,5/9/2026,District 2,4032,Airpark Plaza,30917,398
P5W2,5/3/2026,5/9/2026,District 3,1864,Hialeah Gardens,31354,402
P5W2,5/3/2026,5/9/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,35076,433
P5W2,5/3/2026,5/9/2026,District 3,2042,Miami Flagler,32020,410
P5W2,5/3/2026,5/9/2026,District 3,2602,Doral,21637,323
P5W2,5/3/2026,5/9/2026,District 3,2890,North Miami NW 119 Street,36236,440
P5W2,5/3/2026,5/9/2026,District 3,2893,Wynwood,33232,417
P5W2,5/3/2026,5/9/2026,District 4,205,Lauderhill Oakland Park,53756,581
P5W2,5/3/2026,5/9/2026,District 4,420,Deerfield,30146,394
P5W2,5/3/2026,5/9/2026,District 4,883,Hallandale Beach,42207,493
P5W2,5/3/2026,5/9/2026,District 4,1252,Fort Lauderdale Broward Blvd,46960,528
P5W2,5/3/2026,5/9/2026,District 4,1726,Fort Lauderdale E. Commercial,30332,394
P5W2,5/3/2026,5/9/2026,District 4,1841,Fort Lauderdale S Federal,38252,456
P5W2,5/3/2026,5/9/2026,District 4,1847,Pompano Beach,35017,433
P5W2,5/3/2026,5/9/2026,District 5,79,Plantation W Sunrise,47843,535
P5W2,5/3/2026,5/9/2026,District 5,183,Margate Atlantic,43653,505
P5W2,5/3/2026,5/9/2026,District 5,1096,Tamarac,42979,498
P5W2,5/3/2026,5/9/2026,District 5,1167,Pembroke Pines Pines Blvd,38431,456
P5W2,5/3/2026,5/9/2026,District 5,2048,Coral Springs,38807,459
P5W2,5/3/2026,5/9/2026,District 5,2290,Flamingo Pines,25281,351
P5W2,5/3/2026,5/9/2026,District 5,2976,Weston,24565,347
P5W2,5/3/2026,5/9/2026,District 6,2013,Palm Springs,25416,356
P5W2,5/3/2026,5/9/2026,District 6,2497,Royal Palm Beach,32452,405
P5W2,5/3/2026,5/9/2026,District 6,2696,Okeechobee Jog,25636,358
P5W2,5/3/2026,5/9/2026,District 6,2885,Lantana,21958,328
P5W2,5/3/2026,5/9/2026,District 6,2974,Delray,27915,375
P5W2,5/3/2026,5/9/2026,District 6,3200,Jupiter,19293,304
P5W2,5/3/2026,5/9/2026,District 6,3317,Boca Raton,20762,321
P5W3,5/10/2026,5/16/2026,District 1,346,Miami Old Cutler Road,28075,373
P5W3,5/10/2026,5/16/2026,District 1,871,Florida City,45028,516
P5W3,5/10/2026,5/16/2026,District 1,1677,Palmetto Bay SW 160th,25595,353
P5W3,5/10/2026,5/16/2026,District 1,1771,Miami SW 152nd St,29807,385
P5W3,5/10/2026,5/16/2026,District 1,2118,Naranja,51000,561
P5W3,5/10/2026,5/16/2026,District 1,3013,Quail Roost Dr,23200,335
P5W3,5/10/2026,5/16/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,19612,307
P5W3,5/10/2026,5/16/2026,District 2,1891,Miami SW 137th Ave,29168,380
P5W3,5/10/2026,5/16/2026,District 2,1972,Miami 40th St,47834,535
P5W3,5/10/2026,5/16/2026,District 2,2627,Hialeah Drive,30164,394
P5W3,5/10/2026,5/16/2026,District 2,2766,Miami SW 40th Street,20197,317
P5W3,5/10/2026,5/16/2026,District 2,4032,Airpark Plaza,30967,398
P5W3,5/10/2026,5/16/2026,District 3,1864,Hialeah Gardens,31348,402
P5W3,5/10/2026,5/16/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,35605,436
P5W3,5/10/2026,5/16/2026,District 3,2042,Miami Flagler,32180,410
P5W3,5/10/2026,5/16/2026,District 3,2602,Doral,21577,323
P5W3,5/10/2026,5/16/2026,District 3,2890,North Miami NW 119 Street,36236,440
P5W3,5/10/2026,5/16/2026,District 3,2893,Wynwood,35165,433
P5W3,5/10/2026,5/16/2026,District 4,205,Lauderhill Oakland Park,53556,581
P5W3,5/10/2026,5/16/2026,District 4,420,Deerfield,29555,390
P5W3,5/10/2026,5/16/2026,District 4,883,Hallandale Beach,42588,498
P5W3,5/10/2026,5/16/2026,District 4,1252,Fort Lauderdale Broward Blvd,46472,524
P5W3,5/10/2026,5/16/2026,District 4,1726,Fort Lauderdale E. Commercial,30187,394
P5W3,5/10/2026,5/16/2026,District 4,1841,Fort Lauderdale S Federal,37955,451
P5W3,5/10/2026,5/16/2026,District 4,1847,Pompano Beach,35667,436
P5W3,5/10/2026,5/16/2026,District 5,79,Plantation W Sunrise,47630,535
P5W3,5/10/2026,5/16/2026,District 5,183,Margate Atlantic,44360,509
P5W3,5/10/2026,5/16/2026,District 5,1096,Tamarac,43063,501
P5W3,5/10/2026,5/16/2026,District 5,1167,Pembroke Pines Pines Blvd,39700,467
P5W3,5/10/2026,5/16/2026,District 5,2048,Coral Springs,39149,463
P5W3,5/10/2026,5/16/2026,District 5,2290,Flamingo Pines,24819,347
P5W3,5/10/2026,5/16/2026,District 5,2976,Weston,24175,343
P5W3,5/10/2026,5/16/2026,District 6,2013,Palm Springs,26471,362
P5W3,5/10/2026,5/16/2026,District 6,2497,Royal Palm Beach,32924,408
P5W3,5/10/2026,5/16/2026,District 6,2696,Okeechobee Jog,25041,356
P5W3,5/10/2026,5/16/2026,District 6,2885,Lantana,21814,328
P5W3,5/10/2026,5/16/2026,District 6,2974,Delray,28035,378
P5W3,5/10/2026,5/16/2026,District 6,3200,Jupiter,19517,307
P5W3,5/10/2026,5/16/2026,District 6,3317,Boca Raton,20969,321
P5W4,5/17/2026,5/23/2026,District 1,346,Miami Old Cutler Road,28379,373
P5W4,5/17/2026,5/23/2026,District 1,871,Florida City,46018,524
P5W4,5/17/2026,5/23/2026,District 1,1677,Palmetto Bay SW 160th,25716,353
P5W4,5/17/2026,5/23/2026,District 1,1771,Miami SW 152nd St,29993,385
P5W4,5/17/2026,5/23/2026,District 1,2118,Naranja,51218,561
P5W4,5/17/2026,5/23/2026,District 1,3013,Quail Roost Dr,23150,335
P5W4,5/17/2026,5/23/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,20187,312
P5W4,5/17/2026,5/23/2026,District 2,1891,Miami SW 137th Ave,29543,385
P5W4,5/17/2026,5/23/2026,District 2,1972,Miami 40th St,48456,539
P5W4,5/17/2026,5/23/2026,District 2,2627,Hialeah Drive,29793,390
P5W4,5/17/2026,5/23/2026,District 2,2766,Miami SW 40th Street,19773,312
P5W4,5/17/2026,5/23/2026,District 2,4032,Airpark Plaza,30798,398
P5W4,5/17/2026,5/23/2026,District 3,1864,Hialeah Gardens,31857,405
P5W4,5/17/2026,5/23/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,36350,440
P5W4,5/17/2026,5/23/2026,District 3,2042,Miami Flagler,32045,410
P5W4,5/17/2026,5/23/2026,District 3,2602,Doral,21762,323
P5W4,5/17/2026,5/23/2026,District 3,2890,North Miami NW 119 Street,35943,436
P5W4,5/17/2026,5/23/2026,District 3,2893,Wynwood,35766,436
P5W4,5/17/2026,5/23/2026,District 4,205,Lauderhill Oakland Park,53518,581
P5W4,5/17/2026,5/23/2026,District 4,420,Deerfield,29183,385
P5W4,5/17/2026,5/23/2026,District 4,883,Hallandale Beach,41964,490
P5W4,5/17/2026,5/23/2026,District 4,1252,Fort Lauderdale Broward Blvd,46614,528
P5W4,5/17/2026,5/23/2026,District 4,1726,Fort Lauderdale E. Commercial,29799,390
P5W4,5/17/2026,5/23/2026,District 4,1841,Fort Lauderdale S Federal,36530,443
P5W4,5/17/2026,5/23/2026,District 4,1847,Pompano Beach,35845,436
P5W4,5/17/2026,5/23/2026,District 5,79,Plantation W Sunrise,48033,539
P5W4,5/17/2026,5/23/2026,District 5,183,Margate Atlantic,44424,509
P5W4,5/17/2026,5/23/2026,District 5,1096,Tamarac,43273,501
P5W4,5/17/2026,5/23/2026,District 5,1167,Pembroke Pines Pines Blvd,40296,477
P5W4,5/17/2026,5/23/2026,District 5,2048,Coral Springs,39736,467
P5W4,5/17/2026,5/23/2026,District 5,2290,Flamingo Pines,24966,347
P5W4,5/17/2026,5/23/2026,District 5,2976,Weston,23652,339
P5W4,5/17/2026,5/23/2026,District 6,2013,Palm Springs,26471,362
P5W4,5/17/2026,5/23/2026,District 6,2497,Royal Palm Beach,32886,408
P5W4,5/17/2026,5/23/2026,District 6,2696,Okeechobee Jog,25054,356
P5W4,5/17/2026,5/23/2026,District 6,2885,Lantana,21918,328
P5W4,5/17/2026,5/23/2026,District 6,2974,Delray,28016,378
P5W4,5/17/2026,5/23/2026,District 6,3200,Jupiter,18960,299
P5W4,5/17/2026,5/23/2026,District 6,3317,Boca Raton,21397,325
P6W1,5/24/2026,5/30/2026,District 1,346,Miami Old Cutler Road,28858,378
P6W1,5/24/2026,5/30/2026,District 1,871,Florida City,46448,524
P6W1,5/24/2026,5/30/2026,District 1,1677,Palmetto Bay SW 160th,26098,357
P6W1,5/24/2026,5/30/2026,District 1,1771,Miami SW 152nd St,30808,393
P6W1,5/24/2026,5/30/2026,District 1,2118,Naranja,51012,561
P6W1,5/24/2026,5/30/2026,District 1,3013,Quail Roost Dr,22866,331
P6W1,5/24/2026,5/30/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,20680,316
P6W1,5/24/2026,5/30/2026,District 2,1891,Miami SW 137th Ave,30206,389
P6W1,5/24/2026,5/30/2026,District 2,1972,Miami 40th St,47955,535
P6W1,5/24/2026,5/30/2026,District 2,2627,Hialeah Drive,30006,394
P6W1,5/24/2026,5/30/2026,District 2,2766,Miami SW 40th Street,19390,309
P6W1,5/24/2026,5/30/2026,District 2,4032,Airpark Plaza,30541,398
P6W1,5/24/2026,5/30/2026,District 3,1864,Hialeah Gardens,32333,410
P6W1,5/24/2026,5/30/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,36625,443
P6W1,5/24/2026,5/30/2026,District 3,2042,Miami Flagler,31910,405
P6W1,5/24/2026,5/30/2026,District 3,2602,Doral,21762,323
P6W1,5/24/2026,5/30/2026,District 3,2890,North Miami NW 119 Street,35943,436
P6W1,5/24/2026,5/30/2026,District 3,2893,Wynwood,36229,440
P6W1,5/24/2026,5/30/2026,District 4,205,Lauderhill Oakland Park,53989,581
P6W1,5/24/2026,5/30/2026,District 4,420,Deerfield,28875,383
P6W1,5/24/2026,5/30/2026,District 4,883,Hallandale Beach,41984,490
P6W1,5/24/2026,5/30/2026,District 4,1252,Fort Lauderdale Broward Blvd,46245,524
P6W1,5/24/2026,5/30/2026,District 4,1726,Fort Lauderdale E. Commercial,29708,390
P6W1,5/24/2026,5/30/2026,District 4,1841,Fort Lauderdale S Federal,36542,443
P6W1,5/24/2026,5/30/2026,District 4,1847,Pompano Beach,35624,436
P6W1,5/24/2026,5/30/2026,District 5,79,Plantation W Sunrise,48135,539
P6W1,5/24/2026,5/30/2026,District 5,183,Margate Atlantic,44424,509
P6W1,5/24/2026,5/30/2026,District 5,1096,Tamarac,43596,505
P6W1,5/24/2026,5/30/2026,District 5,1167,Pembroke Pines Pines Blvd,40893,482
P6W1,5/24/2026,5/30/2026,District 5,2048,Coral Springs,40396,477
P6W1,5/24/2026,5/30/2026,District 5,2290,Flamingo Pines,25336,351
P6W1,5/24/2026,5/30/2026,District 5,2976,Weston,23612,339
P6W1,5/24/2026,5/30/2026,District 6,2013,Palm Springs,26424,362
P6W1,5/24/2026,5/30/2026,District 6,2497,Royal Palm Beach,33011,412
P6W1,5/24/2026,5/30/2026,District 6,2696,Okeechobee Jog,25085,356
P6W1,5/24/2026,5/30/2026,District 6,2885,Lantana,22208,332
P6W1,5/24/2026,5/30/2026,District 6,2974,Delray,27740,375
P6W1,5/24/2026,5/30/2026,District 6,3200,Jupiter,18523,299
P6W1,5/24/2026,5/30/2026,District 6,3317,Boca Raton,21397,325
P6W2,5/31/2026,6/6/2026,District 1,346,Miami Old Cutler Road,28858,378
P6W2,5/31/2026,6/6/2026,District 1,871,Florida City,46448,524
P6W2,5/31/2026,6/6/2026,District 1,1677,Palmetto Bay SW 160th,26262,357
P6W2,5/31/2026,6/6/2026,District 1,1771,Miami SW 152nd St,30631,393
P6W2,5/31/2026,6/6/2026,District 1,2118,Naranja,51021,561
P6W2,5/31/2026,6/6/2026,District 1,3013,Quail Roost Dr,23448,335
P6W2,5/31/2026,6/6/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,20680,316
P6W2,5/31/2026,6/6/2026,District 2,1891,Miami SW 137th Ave,30138,389
P6W2,5/31/2026,6/6/2026,District 2,1972,Miami 40th St,46895,528
P6W2,5/31/2026,6/6/2026,District 2,2627,Hialeah Drive,30360,394
P6W2,5/31/2026,6/6/2026,District 2,2766,Miami SW 40th Street,19150,309
P6W2,5/31/2026,6/6/2026,District 2,3210,Tamiami,25480,351
P6W2,5/31/2026,6/6/2026,District 2,4032,Airpark Plaza,30637,398
P6W2,5/31/2026,6/6/2026,District 3,1864,Hialeah Gardens,32753,413
P6W2,5/31/2026,6/6/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,37232,448
P6W2,5/31/2026,6/6/2026,District 3,2042,Miami Flagler,31460,402
P6W2,5/31/2026,6/6/2026,District 3,2602,Doral,21698,323
P6W2,5/31/2026,6/6/2026,District 3,2890,North Miami NW 119 Street,36155,440
P6W2,5/31/2026,6/6/2026,District 3,2893,Wynwood,36580,443
P6W2,5/31/2026,6/6/2026,District 4,205,Lauderhill Oakland Park,54611,588
P6W2,5/31/2026,6/6/2026,District 4,420,Deerfield,29184,385
P6W2,5/31/2026,6/6/2026,District 4,883,Hallandale Beach,41609,490
P6W2,5/31/2026,6/6/2026,District 4,1252,Fort Lauderdale Broward Blvd,47020,532
P6W2,5/31/2026,6/6/2026,District 4,1726,Fort Lauderdale E. Commercial,29445,385
P6W2,5/31/2026,6/6/2026,District 4,1841,Fort Lauderdale S Federal,35746,436
P6W2,5/31/2026,6/6/2026,District 4,1847,Pompano Beach,35451,433
P6W2,5/31/2026,6/6/2026,District 5,79,Plantation W Sunrise,49316,547
P6W2,5/31/2026,6/6/2026,District 5,183,Margate Atlantic,44616,513
P6W2,5/31/2026,6/6/2026,District 5,1096,Tamarac,44436,509
P6W2,5/31/2026,6/6/2026,District 5,1167,Pembroke Pines Pines Blvd,41090,485
P6W2,5/31/2026,6/6/2026,District 5,2048,Coral Springs,41394,485
P6W2,5/31/2026,6/6/2026,District 5,2290,Flamingo Pines,25815,353
P6W2,5/31/2026,6/6/2026,District 5,2976,Weston,23991,339
P6W2,5/31/2026,6/6/2026,District 6,2013,Palm Springs,26424,362
P6W2,5/31/2026,6/6/2026,District 6,2497,Royal Palm Beach,33158,412
P6W2,5/31/2026,6/6/2026,District 6,2696,Okeechobee Jog,24781,352
P6W2,5/31/2026,6/6/2026,District 6,2885,Lantana,22316,332
P6W2,5/31/2026,6/6/2026,District 6,2974,Delray,27453,370
P6W2,5/31/2026,6/6/2026,District 6,3200,Jupiter,18300,296
P6W2,5/31/2026,6/6/2026,District 6,3317,Boca Raton,21068,325
P6W4,6/14/2026,6/20/2026,District 1,346,Miami Old Cutler Road,30290,389
P6W4,6/14/2026,6/20/2026,District 1,871,Florida City,47607,535
P6W4,6/14/2026,6/20/2026,District 1,1677,Palmetto Bay SW 160th,26911,361
P6W4,6/14/2026,6/20/2026,District 1,1771,Miami SW 152nd St,30790,393
P6W4,6/14/2026,6/20/2026,District 1,2118,Naranja,53094,577
P6W4,6/14/2026,6/20/2026,District 1,3013,Quail Roost Dr,24362,343
P6W4,6/14/2026,6/20/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,21573,323
P6W4,6/14/2026,6/20/2026,District 2,1891,Miami SW 137th Ave,29165,380
P6W4,6/14/2026,6/20/2026,District 2,1972,Miami 40th St,44249,509
P6W4,6/14/2026,6/20/2026,District 2,2627,Hialeah Drive,30445,394
P6W4,6/14/2026,6/20/2026,District 2,2766,Miami SW 40th Street,18455,301
P6W4,6/14/2026,6/20/2026,District 2,3210,Tamiami,23520,339
P6W4,6/14/2026,6/20/2026,District 2,4032,Airpark Plaza,31058,402
P6W4,6/14/2026,6/20/2026,District 3,1864,Hialeah Gardens,33386,417
P6W4,6/14/2026,6/20/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,38104,456
P6W4,6/14/2026,6/20/2026,District 3,2042,Miami Flagler,30407,394
P6W4,6/14/2026,6/20/2026,District 3,2602,Doral,22203,327
P6W4,6/14/2026,6/20/2026,District 3,2890,North Miami NW 119 Street,36128,440
P6W4,6/14/2026,6/20/2026,District 3,2893,Wynwood,39452,463
P6W4,6/14/2026,6/20/2026,District 4,205,Lauderhill Oakland Park,54766,588
P6W4,6/14/2026,6/20/2026,District 4,420,Deerfield,28366,378
P6W4,6/14/2026,6/20/2026,District 4,883,Hallandale Beach,41474,485
P6W4,6/14/2026,6/20/2026,District 4,1252,Fort Lauderdale Broward Blvd,47595,535
P6W4,6/14/2026,6/20/2026,District 4,1726,Fort Lauderdale E. Commercial,29783,390
P6W4,6/14/2026,6/20/2026,District 4,1841,Fort Lauderdale S Federal,35698,436
P6W4,6/14/2026,6/20/2026,District 4,1847,Pompano Beach,35896,436
P6W4,6/14/2026,6/20/2026,District 5,79,Plantation W Sunrise,49973,551
P6W4,6/14/2026,6/20/2026,District 5,183,Margate Atlantic,46496,524
P6W4,6/14/2026,6/20/2026,District 5,1096,Tamarac,46082,524
P6W4,6/14/2026,6/20/2026,District 5,1167,Pembroke Pines Pines Blvd,40824,482
P6W4,6/14/2026,6/20/2026,District 5,2048,Coral Springs,42682,498
P6W4,6/14/2026,6/20/2026,District 5,2290,Flamingo Pines,26872,361
P6W4,6/14/2026,6/20/2026,District 5,2976,Weston,25141,351
P6W4,6/14/2026,6/20/2026,District 6,2013,Palm Springs,26936,366
P6W4,6/14/2026,6/20/2026,District 6,2497,Royal Palm Beach,33995,416
P6W4,6/14/2026,6/20/2026,District 6,2696,Okeechobee Jog,24508,352
P6W4,6/14/2026,6/20/2026,District 6,2885,Lantana,22761,336
P6W4,6/14/2026,6/20/2026,District 6,2974,Delray,27310,370
P6W4,6/14/2026,6/20/2026,District 6,3200,Jupiter,18505,299
P6W4,6/14/2026,6/20/2026,District 6,3317,Boca Raton,21742,328
P6W5,6/21/2026,6/27/2026,District 1,346,Miami Old Cutler Road,31049,397
P6W5,6/21/2026,6/27/2026,District 1,871,Florida City,48294,539
P6W5,6/21/2026,6/27/2026,District 1,1677,Palmetto Bay SW 160th,26911,361
P6W5,6/21/2026,6/27/2026,District 1,1771,Miami SW 152nd St,30960,393
P6W5,6/21/2026,6/27/2026,District 1,2118,Naranja,54051,584
P6W5,6/21/2026,6/27/2026,District 1,3013,Quail Roost Dr,24627,347
P6W5,6/21/2026,6/27/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,21879,323
P6W5,6/21/2026,6/27/2026,District 2,1891,Miami SW 137th Ave,28822,378
P6W5,6/21/2026,6/27/2026,District 2,1972,Miami 40th St,43347,501
P6W5,6/21/2026,6/27/2026,District 2,2627,Hialeah Drive,30871,398
P6W5,6/21/2026,6/27/2026,District 2,2766,Miami SW 40th Street,18463,301
P6W5,6/21/2026,6/27/2026,District 2,3210,Tamiami,18525,299
P6W5,6/21/2026,6/27/2026,District 2,4032,Airpark Plaza,31465,402
P6W5,6/21/2026,6/27/2026,District 3,1864,Hialeah Gardens,33397,417
P6W5,6/21/2026,6/27/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,39121,463
P6W5,6/21/2026,6/27/2026,District 3,2042,Miami Flagler,30074,394
P6W5,6/21/2026,6/27/2026,District 3,2602,Doral,22868,331
P6W5,6/21/2026,6/27/2026,District 3,2890,North Miami NW 119 Street,34980,429
P6W5,6/21/2026,6/27/2026,District 3,2893,Wynwood,39939,467
P6W5,6/21/2026,6/27/2026,District 4,205,Lauderhill Oakland Park,56316,599
P6W5,6/21/2026,6/27/2026,District 4,420,Deerfield,28103,378
P6W5,6/21/2026,6/27/2026,District 4,883,Hallandale Beach,41299,485
P6W5,6/21/2026,6/27/2026,District 4,1252,Fort Lauderdale Broward Blvd,48124,539
P6W5,6/21/2026,6/27/2026,District 4,1726,Fort Lauderdale E. Commercial,30255,394
P6W5,6/21/2026,6/27/2026,District 4,1841,Fort Lauderdale S Federal,35513,436
P6W5,6/21/2026,6/27/2026,District 4,1847,Pompano Beach,35649,436
P6W5,6/21/2026,6/27/2026,District 5,79,Plantation W Sunrise,50797,556
P6W5,6/21/2026,6/27/2026,District 5,183,Margate Atlantic,46713,528
P6W5,6/21/2026,6/27/2026,District 5,1096,Tamarac,46771,528
P6W5,6/21/2026,6/27/2026,District 5,1167,Pembroke Pines Pines Blvd,40636,482
P6W5,6/21/2026,6/27/2026,District 5,2048,Coral Springs,43368,501
P6W5,6/21/2026,6/27/2026,District 5,2290,Flamingo Pines,27714,370
P6W5,6/21/2026,6/27/2026,District 5,2976,Weston,25536,353
P6W5,6/21/2026,6/27/2026,District 6,2013,Palm Springs,26936,366
P6W5,6/21/2026,6/27/2026,District 6,2497,Royal Palm Beach,34252,420
P6W5,6/21/2026,6/27/2026,District 6,2696,Okeechobee Jog,24623,352
P6W5,6/21/2026,6/27/2026,District 6,2885,Lantana,22984,336
P6W5,6/21/2026,6/27/2026,District 6,2974,Delray,27356,370
P6W5,6/21/2026,6/27/2026,District 6,3200,Jupiter,18789,299
P6W5,6/21/2026,6/27/2026,District 6,3317,Boca Raton,21742,328
